Date,Time,Product,ISIN,Reference,Venue,Quantity,Price,,Local value,,Value,,Exchange rate,Transaction and/or third,,Total,,Order ID
02-01-2020,18:43,FEDEX CORPORATION COMM,US31428X1063,NSY,CDED,4,153.5700,USD,-614.28,USD,-549.94,EUR,1.1159,-0.51,EUR,-550.45,EUR,fc2fbc0a-4971-4331-ae84-2712d2161acd
02-01-2020,18:43,PAYPAL HOLDINGS INC.,US70450Y1038,NDQ,SOHO,8,110.9800,USD,-887.84,USD,-794.91,EUR,1.1158,-0.53,EUR,-795.44,EUR,f4dd948a-8d75-465f-8f7e-80d010e5e193
09-12-2019,12:11,UNILEVER NV,NL0000388619,XET,XETV,20,54.3200,EUR,-1086.40,EUR,-1086.40,EUR,,-4.63,EUR,-1091.03,EUR,4b95778c-0455-4eba-856a-f4ba8d37b42d
06-12-2019,17:21,COLUMBIA SPORTSWEAR CO,US1985161066,NDQ,XNAS,3,91.7500,USD,-275.25,USD,-249.12,EUR,1.1038,-0.01,EUR,-249.13,EUR,809d5536-f103-4962-ab6c-4c9ac72171a8
06-12-2019,17:21,COLUMBIA SPORTSWEAR CO,US1985161066,NDQ,XNAS,1,91.7500,USD,-91.75,USD,-83.04,EUR,1.1038,,,-83.04,EUR,809d5536-f103-4962-ab6c-4c9ac72171a8
06-12-2019,17:20,COLUMBIA SPORTSWEAR CO,US1985161066,NDQ,XNAS,1,91.7500,USD,-91.75,USD,-83.05,EUR,1.1037,,,-83.05,EUR,809d5536-f103-4962-ab6c-4c9ac72171a8
06-12-2019,17:19,COLUMBIA SPORTSWEAR CO,US1985161066,NDQ,XNAS,1,91.7500,USD,-91.75,USD,-83.05,EUR,1.1037,,,-83.05,EUR,809d5536-f103-4962-ab6c-4c9ac72171a8
06-12-2019,17:17,COLUMBIA SPORTSWEAR CO,US1985161066,NDQ,XNAS,1,91.7500,USD,-91.75,USD,-83.06,EUR,1.1036,-0.50,EUR,-83.56,EUR,809d5536-f103-4962-ab6c-4c9ac72171a8
06-12-2019,16:47,ACTIVISION BLIZZARD I,US00507V1098,NDQ,BATS,7,55.0900,USD,-385.63,USD,-349.21,EUR,1.1032,-0.53,EUR,-349.74,EUR,91d88d7d-0d87-4178-86d5-50cb33f2f8bf
04-11-2019,18:31,VISA INC.,US92826C8394,NSY,CDED,2,179.8000,USD,-359.60,USD,-322.66,EUR,1.1134,-0.51,EUR,-323.17,EUR,38a7228e-8575-41e8-aba5-e0d3791ab71c
04-11-2019,18:30,JP MORGAN CHASE & CO.,US46625H1005,NSY,CDED,4,128.6600,USD,-514.64,USD,-461.77,EUR,1.1134,-0.51,EUR,-462.28,EUR,b3662832-673e-472e-80c7-83c1dec04b24
04-11-2019,18:29,MICROSOFT CORPORATION,US5949181045,NDQ,CDED,3,144.6400,USD,-433.92,USD,-389.34,EUR,1.1134,-0.51,EUR,-389.85,EUR,371c0b2f-07d8-4fc7-97c0-4b18c71fada4
04-10-2019,09:00,BAYERISCHE MOTOREN WERKE AG,DE0005190003,XET,XETR,6,63.1500,EUR,-378.90,EUR,-378.90,EUR,,-4.22,EUR,-383.12,EUR,eef5bcb8-b9c1-489f-b7d5-ec91c6ded936
02-10-2019,21:16,COLUMBIA SPORTSWEAR CO,US1985161066,NDQ,XNAS,4,93.9600,USD,-375.84,USD,-342.95,EUR,1.0948,-0.51,EUR,-343.46,EUR,5c31346f-5293-4357-b9b6-512771cdd3d7
02-10-2019,21:11,JP MORGAN CHASE & CO.,US46625H1005,NSY,CDED,3,113.6500,USD,-340.95,USD,-311.09,EUR,1.0949,-0.51,EUR,-311.60,EUR,fd591b94-aa6e-40df-8c92-f1e78752b17e
26-08-2019,17:15,PAYPAL HOLDINGS INC.,US70450Y1038,NDQ,CDED,4,107.0300,USD,-428.12,USD,-385.20,EUR,1.1103,-0.51,EUR,-385.71,EUR,7c9b1b95-1f18-417f-869d-9977b2b5f6ed
26-08-2019,17:13,TERRAFORM POWER INC.,US88104R2094,NDQ,CDED,19,16.8900,USD,-320.91,USD,-288.74,EUR,1.1103,-0.07,EUR,-288.81,EUR,0e8bc2ef-137b-4b29-b653-f13e3cad474b
26-08-2019,17:13,TERRAFORM POWER INC.,US88104R2094,NDQ,CDED,1,16.8900,USD,-16.89,USD,-15.19,EUR,1.1105,-0.50,EUR,-15.69,EUR,0e8bc2ef-137b-4b29-b653-f13e3cad474b
26-08-2019,17:11,BOEING COMPANY (THE) C,US0970231058,NSY,ARCX,1,360.0000,USD,-360.00,USD,-323.95,EUR,1.1102,-0.50,EUR,-324.45,EUR,4611699e-6704-4abf-9784-c70236605537
30-07-2019,09:00,ADIDAS AG,DE000A1EWWW0,XET,XETR,2,288.8500,EUR,-577.70,EUR,-577.70,EUR,,-4.34,EUR,-582.04,EUR,3d82db1c-d09d-4a0f-ba02-160778e25455
29-07-2019,20:59,DOCUSIGN INC. - COMMO,US2561631068,NDQ,CDED,4,53.2300,USD,-212.92,USD,-191.01,EUR,1.1136,-0.51,EUR,-191.52,EUR,7da7c5da-8bf8-4a69-9fb5-cd9c40ead537
29-07-2019,20:59,CISCO SYSTEMS INC. -,US17275R1023,NDQ,CDED,6,56.9850,USD,-341.91,USD,-306.73,EUR,1.1136,-0.52,EUR,-307.25,EUR,d0ede678-0f7f-4c42-869e-08802fe5e78d
08-07-2019,21:48,MICROSOFT CORPORATION,US5949181045,NDQ,XBOS,2,137.0200,USD,-274.04,USD,-244.47,EUR,1.1199,-0.51,EUR,-244.98,EUR,dd460519-d08b-40da-b794-c2ebf77440d1
08-07-2019,21:47,JOHNSON & JOHNSON COMM,US4781601046,NSY,IEXG,3,140.9500,USD,-422.85,USD,-377.21,EUR,1.1199,-0.51,EUR,-377.72,EUR,2078441e-5202-498a-8bbc-cc08ca040dfb
28-05-2019,15:44,ALIBABA GROUP HOLDING,US01609W1027,NSY,XNYS,4,156.0000,USD,-624.00,USD,-557.49,EUR,1.1182,-0.51,EUR,-558.00,EUR,ab2a6280-64a5-487d-b018-87ee52db2171
28-05-2019,15:30,JP MORGAN CHASE & CO.,US46625H1005,NSY,XNYS,5,109.0600,USD,-545.30,USD,-487.18,EUR,1.1182,-0.52,EUR,-487.70,EUR,c18a68a8-ca25-443e-bd2f-e1f757f666db
28-05-2019,09:00,BAYERISCHE MOTOREN WERKE AG,DE0005190003,XET,XETR,5,64.0000,EUR,-320.00,EUR,-320.00,EUR,,-4.19,EUR,-324.19,EUR,380c0a97-57ff-44c0-b3af-55e4146dc175
29-04-2019,15:31,PFIZER INC. COMMON ST,US7170811035,NSY,XNYS,13,40.0000,USD,-520.00,USD,-466.03,EUR,1.1147,-0.55,EUR,-466.58,EUR,3396ab5f-3cf8-4840-be38-3db4eb777369
29-04-2019,15:30,JP MORGAN CHASE & CO.,US46625H1005,NSY,XNYS,6,114.5600,USD,-687.36,USD,-616.02,EUR,1.1147,-0.52,EUR,-616.54,EUR,2801e5d0-9c12-4d22-9e0a-71df91c27c7b
25-03-2019,14:53,BERKSHIRE HATHAWAY INC,US0846707026,NSY,XNYS,3,200.5500,USD,-601.65,USD,-531.73,EUR,1.1304,-0.51,EUR,-532.24,EUR,a7a45bd0-b29f-440b-b4ce-1a3b2f562826
25-03-2019,14:30,BANK OF AMERICA CORPOR,US0605051046,NSY,XNYS,20,26.9400,USD,-538.80,USD,-476.14,EUR,1.1305,-0.57,EUR,-476.71,EUR,f2267ff9-198e-4209-b5a2-99471ecac147
19-03-2019,17:49,COCA-COLA COMPANY (THE,US1912161007,NSY,XNYS,20,45.4500,USD,-909.00,USD,-800.81,EUR,1.1340,-0.57,EUR,-801.38,EUR,56654ee4-d1cc-4d32-95c7-832260b173a8
19-03-2019,14:30,META PLATFORMS INC,US30303M1027,NDQ,XNAS,8,161.4800,USD,-1291.84,USD,-1137.98,EUR,1.1341,-0.53,EUR,-1138.51,EUR,afd831d5-3cda-4e63-a802-cba3d959d54f
18-03-2019,14:30,BANK OF AMERICA CORPOR,US0605051046,NSY,XNYS,40,29.3300,USD,-1173.20,USD,-1034.11,EUR,1.1334,-0.64,EUR,-1034.75,EUR,ed44c3e8-dae7-4400-b91e-e1d15a99685e
18-03-2019,14:30,BOEING COMPANY (THE) C,US0970231058,NSY,XNYS,3,370.0000,USD,-1110.00,USD,-978.40,EUR,1.1334,-0.51,EUR,-978.91,EUR,ff37c930-534f-4f1d-b6a8-1f3b975d41e9
08-03-2019,21:54,PAYPAL HOLDINGS INC.,US70450Y1038,NDQ,XBOS,6,95.5700,USD,-573.42,USD,-510.52,EUR,1.1221,-0.52,EUR,-511.04,EUR,82c26aba-c4c7-4c00-8d75-eb68fb7a2d90
08-03-2019,21:53,VISA INC.,US92826C8394,NSY,XCIS,8,147.2700,USD,-1178.16,USD,-1048.93,EUR,1.1221,-0.53,EUR,-1049.46,EUR,bbd77339-9001-4514-9d55-b8dea323ba39
08-03-2019,21:51,AMAZON.COM INC. - COM,US0231351067,NDQ,XNAS,1,1617.0000,USD,-1617.00,USD,-1439.64,EUR,1.1221,-0.50,EUR,-1440.14,EUR,00469cc3-1857-461d-afe2-a675376bc7fe
08-03-2019,21:49,PFIZER INC. COMMON ST,US7170811035,NSY,EDGA,27,40.8500,USD,-1102.95,USD,-981.97,EUR,1.1221,-0.60,EUR,-982.57,EUR,25abff49-71a2-4533-ab5b-4e7264042479
04-03-2019,21:12,WALT DISNEY COMPANY (T,US2546871060,NSY,BATY,11,113.9500,USD,-1253.45,USD,-1106.31,EUR,1.1319,-0.54,EUR,-1106.85,EUR,61b5241f-1962-42b2-a925-92834b099c56
04-03-2019,21:06,COCA-COLA COMPANY (THE,US1912161007,NSY,EDGA,20,45.5700,USD,-911.40,USD,-804.34,EUR,1.1320,-0.57,EUR,-804.91,EUR,53870d1d-528a-472f-ad7f-648c19ea2f51
04-03-2019,21:04,CISCO SYSTEMS INC. -,US17275R1023,NDQ,EDGA,22,50.9500,USD,-1120.90,USD,-989.15,EUR,1.1321,-0.58,EUR,-989.73,EUR,6a58b58b-a38c-4598-b511-d8a3ba635caa
04-03-2019,21:01,FEDEX CORPORATION COMM,US31428X1063,NSY,XNAS,7,181.2800,USD,-1268.96,USD,-1119.90,EUR,1.1320,-0.52,EUR,-1120.42,EUR,8db084de-30b0-438d-9c4d-a3210b082e3c
27-02-2019,17:14,AXA SA,FR0000120628,XET,XETR,50,22.0500,EUR,-1102.50,EUR,-1102.50,EUR,,-4.64,EUR,-1107.14,EUR,b3c5bf60-99fd-4c28-94ff-778de8acd1e9
27-02-2019,16:56,PROCTER & GAMBLE COMPA,US7427181091,NSY,BATS,7,99.0300,USD,-693.21,USD,-608.93,EUR,1.1373,-0.52,EUR,-609.45,EUR,a190ea6f-bd40-4763-97b6-802f1e11d8b6
27-02-2019,16:53,BERKSHIRE HATHAWAY INC,US0846707026,NSY,BATY,5,202.0100,USD,-1010.05,USD,-887.02,EUR,1.1376,-0.52,EUR,-887.54,EUR,699b003c-7e63-48a8-8784-ef4f1559c959
27-02-2019,16:46,AMAZON.COM INC. - COM,US0231351067,NDQ,XNAS,1,1621.2000,USD,-1621.20,USD,-1423.11,EUR,1.1381,-0.50,EUR,-1423.61,EUR,129649e7-9390-4f57-8bb7-29548e288da6
20-02-2019,09:00,BAYERISCHE MOTOREN WERKE AG,DE0005190003,XET,XETR,13,71.1100,EUR,-924.43,EUR,-924.43,EUR,,-4.54,EUR,-928.97,EUR,31e74cdb-3a64-4f7d-aa0d-905088e43e2b
19-02-2019,18:39,PROCTER & GAMBLE COMPA,US7427181091,NSY,XCIS,1,99.9500,USD,-99.95,USD,-88.01,EUR,1.1345,,,-88.01,EUR,f4a05cb1-6ac6-4815-bde1-27eea8c9b062
19-02-2019,18:39,PROCTER & GAMBLE COMPA,US7427181091,NSY,XBOS,5,99.9500,USD,-499.75,USD,-440.08,EUR,1.1345,-0.52,EUR,-440.60,EUR,f4a05cb1-6ac6-4815-bde1-27eea8c9b062
19-02-2019,18:32,COCA-COLA COMPANY (THE,US1912161007,NSY,EDGA,12,45.2450,USD,-542.94,USD,-478.44,EUR,1.1337,-0.54,EUR,-478.98,EUR,9515af0e-a883-4c8e-b454-48250fab5a30
30-01-2019,20:36,META PLATFORMS INC,US30303M1027,NDQ,EDGX,6,149.7400,USD,-898.44,USD,-782.09,EUR,1.1476,-0.52,EUR,-782.61,EUR,0af05f30-0b91-4149-81b3-f48062b2e133
28-01-2019,21:42,DOCUSIGN INC. - COMMO,US2561631068,NDQ,XNYS,5,48.6900,USD,-243.45,USD,-213.05,EUR,1.1416,-0.52,EUR,-213.57,EUR,8da7dd91-9096-4271-848e-0d0590c499db
28-01-2019,21:41,BERKSHIRE HATHAWAY INC,US0846707026,NSY,XNAS,3,200.3300,USD,-600.99,USD,-525.92,EUR,1.1416,-0.51,EUR,-526.43,EUR,f845136c-f0ff-4c7c-9cf4-908b893b4bab
28-01-2019,21:34,JOHNSON & JOHNSON COMM,US4781601046,NSY,XNYS,9,128.6000,USD,-1157.40,USD,-1012.73,EUR,1.1417,-0.53,EUR,-1013.26,EUR,8d43b5ce-6472-45ba-b927-774d38ff2bd2
28-01-2019,21:32,PFIZER INC. COMMON ST,US7170811035,NSY,EDGA,15,39.6800,USD,-595.20,USD,-520.86,EUR,1.1416,-0.55,EUR,-521.41,EUR,a19b778c-25b2-4365-a0d7-55e69ddede09
28-01-2019,21:21,TERRAFORM POWER INC.,US88104R2094,NDQ,MSPL,100,11.3800,USD,-1138.00,USD,-995.86,EUR,1.1416,-0.85,EUR,-996.71,EUR,70885f55-c6d0-4b9c-a5c2-2c491adf9276
24-12-2018,15:33,BERKSHIRE HATHAWAY INC,US0846707026,NSY,XNYS,2,191.3200,USD,-382.64,USD,-334.96,EUR,1.1412,-0.51,EUR,-335.47,EUR,a7ae3cfc-806a-46f6-a51c-37c440a1421c
24-12-2018,15:30,PFIZER INC. COMMON ST,US7170811035,NSY,XNYS,6,41.8200,USD,-250.92,USD,-219.63,EUR,1.1413,-0.52,EUR,-220.15,EUR,38eaaa64-a211-4f27-8b92-0add574ee6ba
24-12-2018,15:30,APPLE INC. - COMMON ST,US0378331005,NDQ,XNAS,3,148.1500,USD,-444.45,USD,-389.12,EUR,1.1410,-0.51,EUR,-389.63,EUR,62778b0a-fe90-4d82-a393-faa34d6fdd3c
26-11-2018,15:31,WALT DISNEY COMPANY (T,US2546871060,NSY,XNYS,4,113.0000,USD,-452.00,USD,-397.98,EUR,1.1346,-0.51,EUR,-398.49,EUR,bff0b5b7-19dd-44b5-854c-f8c6e6d1415a
26-11-2018,15:31,PROCTER & GAMBLE COMPA,US7427181091,NSY,XNYS,3,91.5000,USD,-274.50,USD,-241.73,EUR,1.1344,-0.51,EUR,-242.24,EUR,88eb6b76-039f-480f-ad55-b7add7ef0423
26-11-2018,15:30,ACTIVISION BLIZZARD I,US00507V1098,NDQ,XNAS,9,50.6900,USD,-456.21,USD,-401.79,EUR,1.1343,-0.53,EUR,-402.32,EUR,a966d919-fafb-4ae3-88c0-06821776ef06
15-11-2018,15:30,MICROSOFT CORPORATION,US5949181045,NDQ,XNAS,2,104.7400,USD,-209.48,USD,-185.34,EUR,1.1291,-0.51,EUR,-185.85,EUR,8875031e-b6d5-4322-b452-9548c542e37a
13-11-2018,15:37,MICROSOFT CORPORATION,US5949181045,NDQ,XNAS,12,108.2400,USD,-1298.88,USD,-1152.50,EUR,1.1259,-0.54,EUR,-1153.04,EUR,ab495811-0a1d-4c7b-bdcc-1832bb87cd93
13-11-2018,15:35,COCA-COLA COMPANY (THE,US1912161007,NSY,XNYS,8,49.7400,USD,-397.92,USD,-353.08,EUR,1.1259,-0.53,EUR,-353.61,EUR,85a1edb4-9812-4022-adf6-d7deb9df16d2
13-11-2018,15:33,BANK OF AMERICA CORPOR,US0605051046,NSY,XCIS,20,27.8900,USD,-557.80,USD,-494.82,EUR,1.1261,-0.57,EUR,-495.39,EUR,02d6d6c2-e36e-41e9-8737-908697839491
13-11-2018,15:32,BERKSHIRE HATHAWAY INC,US0846707026,NSY,IEXG,4,215.9200,USD,-863.68,USD,-766.17,EUR,1.1261,-0.51,EUR,-766.68,EUR,038141bc-968d-405d-a3ca-1b899c2ab78a
12-11-2018,19:04,PFIZER INC. COMMON ST,US7170811035,NSY,EDGA,1,44.0100,USD,-44.01,USD,-39.14,EUR,1.1233,-0.50,EUR,-39.64,EUR,abeb4262-c71d-4138-9c73-c25fc7c52785
