Date,Time,Product,ISIN,Reference,Venue,Quantity,Price,,Local value,,Value,,Exchange rate,Transaction and/or third,,Total,,Order ID
07-04-2021,20:25,WALT DISNEY COMPANY (T,US2546871060,NSY,XNAS,16,188.1200,USD,-3009.92,USD,-2533.39,EUR,1.1869,-0.55,EUR,-2533.94,EUR,420be97a-265e-4b69-b7a7-acfad1ba8940
07-04-2021,20:23,APPLE INC. - COMMON ST,US0378331005,NDQ,CDED,18,127.6400,USD,-2297.52,USD,-1933.78,EUR,1.1869,-0.56,EUR,-1934.34,EUR,5e9d4dd0-6d3a-4ca2-aba5-356ac49e7ab4
07-04-2021,20:18,JOHNSON & JOHNSON COMM,US4781601046,NSY,CDED,12,163.4500,USD,-1961.40,USD,-1650.45,EUR,1.1872,-0.54,EUR,-1650.99,EUR,edfc6387-8ab8-438f-9b58-dfaa847b55db
07-04-2021,20:17,FEDEX CORPORATION COMM,US31428X1063,NSY,CDED,7,279.8200,USD,-1958.74,USD,-1648.35,EUR,1.1871,-0.52,EUR,-1648.87,EUR,9484dd5a-fcb2-464d-aed8-d5fe77ee1213
07-04-2021,20:16,COCA-COLA COMPANY (THE,US1912161007,NSY,SOHO,30,53.1500,USD,-1594.50,USD,-1341.83,EUR,1.1871,-0.60,EUR,-1342.43,EUR,e9f97484-b335-4a70-8109-23d0d0e793a7
01-04-2021,11:35,ISHARES MSCI WORLD SMALL CAP UCITS ETF USD ACC,IE00BF4RFH31,XET,XETA,1022,5.9930,EUR,-6124.85,EUR,-6124.85,EUR,,-1.84,EUR,-6126.69,EUR,c73c34a7-6397-45a3-aaa9-1c050100091e
01-04-2021,11:33,ISHARES MSCI WORLD SMALL CAP UCITS ETF USD ACC,IE00BF4RFH31,XET,XETA,158,5.9930,EUR,-946.89,EUR,-946.89,EUR,,-2.28,EUR,-949.17,EUR,c73c34a7-6397-45a3-aaa9-1c050100091e
01-04-2021,10:24,VANGUARD FTSE ALL-WORLD UCITS ETF - (USD) ACCUMULATING,IE00BK5BQT80,XET,XETA,23,89.7700,EUR,-2064.71,EUR,-2064.71,EUR,,-2.62,EUR,-2067.33,EUR,6001eb25-effa-4e22-93f9-62e29f87136b
08-03-2021,20:16,MERCADOLIBRE INC. - C,US58733R1023,NDQ,BATS,1,1396.9000,USD,-1396.90,USD,-1178.22,EUR,1.1844,-0.50,EUR,-1178.72,EUR,8581f714-b087-4985-8bca-a0904b4ff999
08-03-2021,20:09,ALIBABA GROUP HOLDING,US01609W1027,NSY,XNAS,3,228.4600,USD,-685.38,USD,-578.18,EUR,1.1842,-0.51,EUR,-578.69,EUR,d4fbd95e-b20d-4372-8936-a53a7b5a4cf8
08-03-2021,20:07,ACTIVISION BLIZZARD I,US00507V1098,NDQ,CDED,10,90.5600,USD,-905.60,USD,-764.03,EUR,1.1841,-0.53,EUR,-764.56,EUR,d0ab7e68-f46d-440d-841e-2123fa80c335
26-02-2021,09:10,ISHARES MSCI WORLD SMALL CAP UCITS ETF USD ACC,IE00BF4RFH31,XET,XETA,695,5.6330,EUR,-3914.94,EUR,-3914.94,EUR,,-3.17,EUR,-3918.11,EUR,9003d6ab-0a38-4865-90d6-1e15c409598e
18-02-2021,11:53,JPMORGAN G,GB00B18JK166,LSE,XLON,1000,322.0000,GBX,-322000.00,GBX,-3716.51,EUR,86.5539,-5.86,EUR,-3722.37,EUR,f1c33cf8-a340-442e-9f8f-9ca16612ba24
18-02-2021,09:04,"UNILEVER PLC LS-,031111",GB00B10RZP78,XET,XETB,9,45.7900,EUR,-412.11,EUR,-412.11,EUR,,-4.21,EUR,-416.32,EUR,f8c79a54-1ec8-4ad9-bf23-57ed66d8788b
